Product_code	Main_category	Sub_category	Product_name	Specifications	Image_path	INR	GBP	CAD	Euro	Date	Company	Product_price	Profit%	Selling price	Folder_path	Image_name	number
SR001	Saree	Kalyani Cotton/Lata Gadwal Paithani	SR001-Kalyani Cotton/Lata Gadwal Paithani	"?? ??Acrylic first quality 2/100 thread  and  100% original Cotton sarees????
 
???? Grand jari pallu and contrast blouse 6.30 mtrs????

???? Very Soft and smooth cotton ,saree all over thread puttas????

???? Good quality and regular saree ????
"	Products/Sarees/PMTEX/030825/001_kalyanicottonsaree_latagadwalpaithani.jpeg	1223.25	11.32638889	20.3875	12.2325	03-Aug-25	PMTEX	699	75%	1223.25	Products/Sarees/PMTEX/030825/	_kalyanicottonsaree_latagadwalpaithani.jpeg	001
SR002	Saree	Kalyani Cotton/Lata Gadwal Paithani	SR002-Kalyani Cotton/Lata Gadwal Paithani	"?? ??Acrylic first quality 2/100 thread  and  100% original Cotton sarees????
 
???? Grand jari pallu and contrast blouse 6.30 mtrs????

???? Very Soft and smooth cotton ,saree all over thread puttas????

???? Good quality and regular saree ????
"	Products/Sarees/PMTEX/030825/002_kalyanicottonsaree_latagadwalpaithani.jpeg	1223.25	11.32638889	20.3875	12.2325	03-Aug-25	PMTEX	699	75%	1223.25	Products/Sarees/PMTEX/030825/	_kalyanicottonsaree_latagadwalpaithani.jpeg	002
SR003	Saree	Kalyani Cotton/Lata Gadwal Paithani	SR003-Kalyani Cotton/Lata Gadwal Paithani	"?? ??Acrylic first quality 2/100 thread  and  100% original Cotton sarees????
 
???? Grand jari pallu and contrast blouse 6.30 mtrs????

???? Very Soft and smooth cotton ,saree all over thread puttas????

???? Good quality and regular saree ????
"	Products/Sarees/PMTEX/030825/003_kalyanicottonsaree_latagadwalpaithani.jpeg	1223.25	11.32638889	20.3875	12.2325	03-Aug-25	PMTEX	699	75%	1223.25	Products/Sarees/PMTEX/030825/	_kalyanicottonsaree_latagadwalpaithani.jpeg	003
SR004	Saree	Kalyani Cotton/Lata Gadwal Paithani	SR004-Kalyani Cotton/Lata Gadwal Paithani	"?? ??Acrylic first quality 2/100 thread  and  100% original Cotton sarees????
 
???? Grand jari pallu and contrast blouse 6.30 mtrs????

???? Very Soft and smooth cotton ,saree all over thread puttas????

???? Good quality and regular saree ????
"	Products/Sarees/PMTEX/030825/004_kalyanicottonsaree_latagadwalpaithani.jpeg	1223.25	11.32638889	20.3875	12.2325	03-Aug-25	PMTEX	699	75%	1223.25	Products/Sarees/PMTEX/030825/	_kalyanicottonsaree_latagadwalpaithani.jpeg	004
SR005	Saree	Kalyani Cotton/Lata Gadwal Paithani	SR005-Kalyani Cotton/Lata Gadwal Paithani	"?? ??Acrylic first quality 2/100 thread  and  100% original Cotton sarees????
 
???? Grand jari pallu and contrast blouse 6.30 mtrs????

???? Very Soft and smooth cotton ,saree all over thread puttas????

???? Good quality and regular saree ????
"	Products/Sarees/PMTEX/030825/005_kalyanicottonsaree_latagadwalpaithani.jpeg	1223.25	11.32638889	20.3875	12.2325	03-Aug-25	PMTEX	699	75%	1223.25	Products/Sarees/PMTEX/030825/	_kalyanicottonsaree_latagadwalpaithani.jpeg	005
SR006	Saree	Kalyani Cotton/Lata Gadwal Paithani	SR006-Kalyani Cotton/Lata Gadwal Paithani	"?? ??Acrylic first quality 2/100 thread  and  100% original Cotton sarees????
 
???? Grand jari pallu and contrast blouse 6.30 mtrs????

???? Very Soft and smooth cotton ,saree all over thread puttas????

???? Good quality and regular saree ????
"	Products/Sarees/PMTEX/030825/006_kalyanicottonsaree_latagadwalpaithani.jpeg	1223.25	11.32638889	20.3875	12.2325	03-Aug-25	PMTEX	699	75%	1223.25	Products/Sarees/PMTEX/030825/	_kalyanicottonsaree_latagadwalpaithani.jpeg	006
SR007	Saree	Kalyani Cotton/Lata Gadwal Paithani	SR007-Kalyani Cotton/Lata Gadwal Paithani	"?? ??Acrylic first quality 2/100 thread  and  100% original Cotton sarees????
 
???? Grand jari pallu and contrast blouse 6.30 mtrs????

???? Very Soft and smooth cotton ,saree all over thread puttas????

???? Good quality and regular saree ????
"	Products/Sarees/PMTEX/030825/007_kalyanicottonsaree_latagadwalpaithani.jpeg	1223.25	11.32638889	20.3875	12.2325	03-Aug-25	PMTEX	699	75%	1223.25	Products/Sarees/PMTEX/030825/	_kalyanicottonsaree_latagadwalpaithani.jpeg	007
SR008	Saree	Kalyani Cotton/Lata Gadwal Paithani	SR008-Kalyani Cotton/Lata Gadwal Paithani	"?? ??Acrylic first quality 2/100 thread  and  100% original Cotton sarees????
 
???? Grand jari pallu and contrast blouse 6.30 mtrs????

???? Very Soft and smooth cotton ,saree all over thread puttas????

???? Good quality and regular saree ????
"	Products/Sarees/PMTEX/030825/008_kalyanicottonsaree_latagadwalpaithani.jpeg	1223.25	11.32638889	20.3875	12.2325	03-Aug-25	PMTEX	699	75%	1223.25	Products/Sarees/PMTEX/030825/	_kalyanicottonsaree_latagadwalpaithani.jpeg	008
SR009	Saree	Elite Korvai Bridal Rapier Fancy Light Weight Silk Type Sarees	SR009-Elite Korvai Bridal Rapier Fancy Light Weight Silk Type Sarees	"Samuthrika/vasthrakala style wedding type

Bridal silk material (type of pure silk) 

Weaving  360 speed RPM   99% Genuine Quality

Full Body Real 3D Embossed Rich Design

Rich pallu with contrast blouse

Rose gold  jari type Woven with Matching 110 karizma"	Products/Sarees/PMTEX/050825/001_elite_korvai_bridal_rapier_fancy_light_weight_silk_type_sarees.jpeg	1398.25	12.94675926	23.30416667	13.9825	05-Aug-25	PMTEX	799	75%	1398.25	Products/Sarees/PMTEX/050825/	_elite_korvai_bridal_rapier_fancy_light_weight_silk_type_sarees.jpeg	001
SR010	Saree	Elite Korvai Bridal Rapier Fancy Light Weight Silk Type Sarees	SR010-Elite Korvai Bridal Rapier Fancy Light Weight Silk Type Sarees	"Samuthrika/vasthrakala style wedding type

Bridal silk material (type of pure silk) 

Weaving  360 speed RPM   99% Genuine Quality

Full Body Real 3D Embossed Rich Design

Rich pallu with contrast blouse

Rose gold  jari type Woven with Matching 110 karizma"	Products/Sarees/PMTEX/050825/002_elite_korvai_bridal_rapier_fancy_light_weight_silk_type_sarees.jpeg	1398.25	12.94675926	23.30416667	13.9825	05-Aug-25	PMTEX	799	75%	1398.25	Products/Sarees/PMTEX/050825/	_elite_korvai_bridal_rapier_fancy_light_weight_silk_type_sarees.jpeg	002
